lr,bs,epochs,max_length,accuracy,train_time,accuracy_per_min
3.00E-05,16,2,64,0.8236,273.31,0.180805679
3.00E-05,16,2,128,0.872,461.78,0.113300706
3.00E-05,16,2,256,0.9048,953.32,0.056946251
3.00E-05,16,2,384,0.9136,1451.53,0.03776429
3.00E-05,16,2,512,0.9224,2008.03,0.027561341
