lr,bs,epochs,max_length,accuracy,train_time,accuracy_per_min
4.00E-05,48,2,64,0.8292,231,0.215376623
4.00E-05,48,2,128,0.8708,452,0.11559292
4.00E-05,64,2,64,0.8306,228,0.218578947
4.00E-05,64,2,128,0.872,433,0.120831409
8.00E-05,48,2,64,0.832,243,0.205432099
8.00E-05,48,2,128,0.8688,459,0.113568627
8.00E-05,64,2,64,0.8328,235,0.212629787
8.00E-05,64,2,128,0.8726,443,0.118185102
